date,month_label,provider,country_iso3,order_payment_type,payment_method,card_brand,gender,offer,orders_count,total_payout_usd
2025-10-01,Oct 2025,Pay,BRA,recurring,apple_pay,MASTERCARD,male,8484,39,3039.62
2025-10-01,Oct 2025,Sol,TUR,recurring,card,VISA,male,2828,83,3039.17
2025-10-01,Oct 2025,Sol,CAN,first,card,MASTERCARD,male,8484,69,3029.066103
2025-10-01,Oct 2025,Sol,NZL,recurring,card,VISA,male,2828,78,3003.360678
2025-10-01,Oct 2025,Ad,JPN,recurring,apple_pay,AMEX,male,2828,78,2995.817115
2025-10-01,Oct 2025,PP,ITA,first,APM,Unknown,male,2828,118,2992.318099
2025-10-01,Oct 2025,PP,AUT,recurring,APM,Unknown,male,8484,32,2991.568013
2025-10-01,Oct 2025,Ad,NZL,recurring,apple_pay,VISA,male,2828,78,2979.23
2025-10-01,Oct 2025,PP,CHE,recurring,APM,Unknown,male,8484,41,2978.835906
2025-10-01,Oct 2025,Ad,GBR,recurring,card,AMEX,male,2828,54,2976.603168
2025-10-01,Oct 2025,Eb,BRA,recurring,card,MASTERCARD,male,8484,39,2972.276795
2025-10-01,Oct 2025,Sol,GBR,recurring,apple_pay,VISA,male,2828,54,2962.933596
2025-10-01,Oct 2025,Sol,CAN,upsell,card,MASTERCARD,male,No offer,58,2955.89898
2025-10-01,Oct 2025,Che,USA,recurring,card,MASTERCARD,male,2828,83,2929.971336
2025-10-01,Oct 2025,Sol,BRA,first,apple_pay,MASTERCARD,male,2828,141,2929.194963
2025-10-01,Oct 2025,Nuv,FRA,first,apple_pay,VISA,male,2828,115,2919.501494
2025-10-01,Oct 2025,Sol,BRA,upsell,apple_pay,MASTERCARD,male,No offer,58,2912.79672
2025-10-01,Oct 2025,Sol,IRL,recurring,apple_pay,VISA,male,2828,57,2906.230469
2025-10-01,Oct 2025,Ad,ISR,recurring,apple_pay,VISA,male,2828,74,2899.26
2025-10-01,Oct 2025,Ad,ARG,recurring,apple_pay,VISA,male,2828,77,2879.23
2025-10-01,Oct 2025,Nuv,CHL,first,card,VISA,male,2828,165,2866.55
2025-10-01,Oct 2025,Che,GBR,recurring,apple_pay,VISA,male,2828,56,2853.484095
2025-10-01,Oct 2025,Nuv,GBR,first,apple_pay,MASTERCARD,male,2828,107,2847.438062
2025-10-01,Oct 2025,Che,USA,first,apple_pay,AMEX,male,8484,73,2798.611801
